,weight,lifespan,size,breed
0,7--10,12--15 ,9--11.5 ,affenpinscher
1,50--60,12--18 ,25--27 ,afghan-hound
2,50--70,11--14 ,20--23 ,airedale-terrier
3,70--130,10--14 ,24--28 ,akita
4,5--26,13--16 ,13--18 ,alaskan-klee-kai
5,70--90,10--14 ,20--25 ,alaskan-malamute
6,60--100,10--12 ,20--25 ,american-bulldog
7,45--65,11--12 ,23--26 ,american-english-coonhound
8,6--35,13--15 ,9--19 ,american-eskimo-dog
9,60--70,11--13 ,21--25 ,american-foxhound
10,12--16,14--16 ,12--16 ,american-hairless-terrier
11,35--75,12--15 ,21--27 ,american-leopard-hound
12,30--85,12--16 ,17--19 ,american-pitbull-terrier
13,40--70,12--16 ,17--19 ,american-staffordshire-terrier
14,25--25,10--14 ,15--18 ,american-water-spaniel
15,80--150,11--13 ,27--29 ,analian-shepherd-dog
16,48--70,12--15 ,19--22 ,appenzeller-sennenhund
17,35--60,12--16 ,17--20 ,australian-cattle-dog
18,35--50,10--13 ,17--20 ,australian-kelpie
19,40--65,12--15 ,18--23 ,australian-shepherd
20,32--45,12--15 ,17--20 ,australian-stumpy-tail-cattle-dog
21,15--20,11--15 ,10--11 ,australian-terrier
22,33--55,12--15 ,23--29 ,azawakh
23,35--65,12--14 ,19--24.5 ,barbet
24,22--24,13--14 ,16--17 ,basenji
25,40--65,12--13 ,10--15 ,basset-hound
26,15--30,10--15 ,10--15 ,beagle
27,45--55,12--14 ,20--22 ,bearded-collie
28,70--110,10--12 ,24--27.5 ,beauceron
29,17--23,11--16 ,15--17.5 ,bedlingn-terrier
30,40--80,14--16 ,22--26 ,belgian-malinois
31,45--75,12--14 ,22--26 ,belgian-sheepdog
32,45--75,12--14 ,22--26 ,belgian-tervuren
33,70--115,7--10 ,23--27.5 ,bernese-mountain-dog
34,12--18,14--15 ,9.5--11.5 ,bichon-frise
35,4--8,15--16 ,7--11 ,biewer-terrier
36,65--110,10--12 ,23--27 ,black-and-tan-coonhound
37,80--130,10--12 ,26--30 ,black-russian-terrier
38,80--110,10--12 ,23--27 ,bloodhound
39,150--200,9--11 ,22--27 ,boerboel
40,30--55,12--15 ,18--22 ,border-collie
41,11.5--15.5,12--15 ,12--15 ,border-terrier
42,60--105,9--14 ,26--28 ,borzoi
43,12--25,11--13 ,15--17 ,bosn-terrier
44,70--110,10--12 ,23.5--27.5 ,bouvier-des-flandres
45,50--80,10--12 ,20--25 ,boxer
46,55--90,10--14 ,21--27 ,bracco-italiano
47,8--10,12--15 ,7--10 ,brussels-griffon
48,40--50,8--10 ,14--15 ,bulldog
49,100--130,7--9 ,24--27 ,bullmastiff
50,50--70,12--13 ,21--22 ,bull-terrier
51,13--14,13--15 ,9.5--10 ,cairn-terrier
52,0--50,9--12 ,23.5--27.5,cane-corso
53,25--38,12--15 ,10.5--12.5 ,cardigan-welsh-corgi
54,99--170,10--12 ,23--30 ,caucasian-shepherd-dog
55,13--18,12--15 ,12--13 ,cavalier-king-charles-spaniel
56,88--110,12--15 ,25.5--27.5 ,central-asian-shepherd-dog
57,55--80,10--13 ,21--26 ,chesapeake-bay-retriever
58,0--6,14--16 ,5--8 ,chihuahua
59,8--12,13--18 ,11--13 ,chinese-crested
60,45--60,8--12 ,18--20 ,chinese-shar-pei
61,45--70,8--12 ,17--20 ,chow-chow
62,55--85,10--12 ,17--20 ,clumber-spaniel
63,50--75,12--14 ,22--26 ,collie
64,8--15,15--19 ,9--11 ,con-de-tulear
65,60--95,10--12 ,23--27 ,curly-coated-retriever
66,44--57,10--15 ,23.5--25.5 ,czechoslovakian-vlcak
67,11--32,12--16 ,5--9 ,dachshund
68,45--70,11--13 ,19--24 ,dalmatian
69,18--24,12--15 ,8--11 ,dandie-dinmont-terrier
70,15--20,11--13 ,12.5--14.5 ,danish-swedish-farmdog
71,60--100,10--12 ,24--28 ,doberman-pinscher
72,80--100,9--15 ,24--26.5 ,dogo-argentino
73,99--110,5--8 ,23.26--23.27 ,dogue-de-bordeaux
74,42--75,11--14 ,21.5--24.5 ,dutch-shepherd
75,26--34,12--14 ,15--17 ,english-cocker-spaniel
76,45--80,11--12 ,23--27 ,english-setter
77,40--50,12--14 ,19--20 ,english-springer-spaniel
78,8--14,10--12 ,9--10 ,english-y-spaniel
79,77--132,10--14 ,24.5--29 ,estrela-mountain-dog
80,40--70,12--16 ,19--24 ,eurasier
81,33--53,12--15 ,16--21 ,finnish-lapphund
82,20--33,12--15 ,15.5--20 ,finnish-spitz
83,60--70,8--10 ,22--24.5 ,flat-coated-retriever
84,0--28,10--12 ,11--13 ,french-bulldog
85,50--60,10--12 ,21.5--24 ,french-spaniel
86,55--80,12--14 ,22--28 ,german-longhaired-pointer
87,25--45,12--14 ,17--20 ,german-pinscher
88,50--90,7--10 ,22--26 ,german-shepherd-dog
89,45--70,10--12 ,21--25 ,german-shorthaired-pointer
90,24--26,13--15 ,12--15 ,german-spitz
91,55--85,12--15 ,23.5--27.5 ,giant-schnauzer
92,55--75,10--12 ,21.5--24 ,golden-retriever
